"FTSE EPRA Nareit United States USD Price Return Index | Price History                                          04-May-2021 23:39",,,,,,,
,,,,,,,
,,,,,,,
.FTUNUS,,,,,,,
"Interval: Daily",,,,,,,
"History Period: 04-May-2001 - 03-May-2021",,,,,,,
"Currency Conversion: USD",,,,,,,
,,,,,,,
,,,,,,,
".FTUNUS Statistics     Daily     04-May-2001 - 03-May-2021",,,,,,,
Price,,,Up/Down,,"Price Change (Close-Close)",,
High,"3431,19",2020/02/21,Up,2688,Up,"0,183511498032571",2008/11/24
Low,"688,96",2009/03/06,Down,2331,Down,"-0,194984218903146",2008/12/01
Avg,"2241,01562143895",,Unch,172,Period,"1,68930494101673","04-May-2001 - 03-May-2021"
,,,,,,,
,,,,,,,
".FTUNUS History     Daily     04-May-2001 - 03-May-2021",,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,
2005/07/14,"2115,87","-36,9900000000002","-0,0171817953791701","2152,86","2113,82","2157,54",
2005/07/13,"2152,86","-14,1999999999998","-0,00655265659464889","2167,06","2150,52","2167,06",
2005/07/12,"2167,06","0,409999999999854","0,000189232224863201","2166,65","2157,41","2175,26",
2005/07/11,"2166,65","27,4000000000001","0,0128082271824238","2139,25","2138,81","2170,09",
2005/07/08,"2139,25","31,4699999999998","0,0149304007059559","2107,78","2101,93","2144,82",
2005/07/07,"2107,78","9,15000000000009","0,00435998722976422","2098,63","2080,3","2107,78",
2005/07/06,"2098,63","-10,4099999999999","-0,00493589500436211","2109,04","2098,61","2113,72",
2005/07/05,"2109,04","25,3600000000001","0,0121707747830762","2083,68","2078,76","2109,21",
2005/07/04,"2083,68",0,0,"2083,68","2083,68","2083,68",
2005/07/01,"2083,68","18,8299999999999","0,00911930648715399","2064,85","2062,44","2083,68",
2005/06/30,"2064,85","2,15999999999985","0,00104717626012627","2062,69","2048,33","2065,48",
2005/06/29,"2062,69","4,32000000000016","0,00209874803849656","2058,37","2057,08","2069,09",
2005/06/28,"2058,37","10,4699999999998","0,0051125543239415","2047,9","2042,93","2058,37",
2005/06/27,"2047,9","-3,96000000000004","-0,00192995623483085","2051,86","2045,46","2055,34",
2005/06/24,"2051,86","-9,44000000000005","-0,00457963421142","2061,3","2042,92","2067,84",
2005/06/23,"2061,3","-5,25999999999976","-0,00254529266026622","2066,56","2059,68","2075,54",
2005/06/22,"2066,56","0,0199999999999818","9,6780125233394E-06","2066,54","2062,72","2079,09",
2005/06/21,"2066,54","-17,9299999999998","-0,00860170690871053","2084,47","2066,53","2087,64",
2005/06/20,"2084,47","-4,86000000000013","-0,00232610454069014","2089,33","2082,12","2092,71",
2005/06/17,"2089,33","25,0999999999999","0,0121594977303885","2064,23","2064,23","2091,86",
2005/06/16,"2064,23","3,13000000000011","0,0015186065693077","2061,1","2049,12","2064,3",
2005/06/15,"2061,1","-0,869999999999891","-0,000421926604169746","2061,97","2049,05","2061,97",
2005/06/14,"2061,97","19,9999999999998","0,0097944631899586","2041,97","2039,34","2061,97",
2005/06/13,"2041,97","6,90000000000009","0,00339054676251927","2035,07","2027,48","2041,97",
2005/06/10,"2035,07","-1,25999999999999","-0,000618760220592925","2036,33","2028,95","2039,93",
2005/06/09,"2036,33","1,34999999999991","0,000663397183264656","2034,98","2021,18","2037,26",
2005/06/08,"2034,98","9,04999999999995","0,00446708425266419","2025,93","2025,93","2047,87",
2005/06/07,"2025,93","16,1500000000001","0,00803570540059115","2009,78","2009,78","2040,71",
2005/06/06,"2009,78","17,5699999999999","0,00881935137360014","1992,21","1991,67","2009,92",
2005/06/03,"1992,21","-2,07999999999993","-0,00104297770133728","1994,29","1992,21","2014,24",
2005/06/02,"1994,29","-4,42000000000007","-0,00221142637000869","1998,71","1991,44","2000,37",
2005/06/01,"1998,71",25,"0,0126665011577182","1973,71","1973,71","1998,71",
2005/05/31,"1973,71","14,3800000000001","0,00733924351691655","1959,33","1959,33","1981,87",
2005/05/30,"1959,33",0,0,"1959,33","1959,33","1959,33",
2005/05/27,"1959,33","12,1899999999998","0,00626046406524432","1947,14","1947,14","1959,33",
2005/05/26,"1947,14","-5,57999999999993","-0,00285755254209509","1952,72","1945,55","1969,15",
2005/05/25,"1952,72","-26,5699999999999","-0,0134240055777576","1979,29","1950,72","1979,29",
2005/05/24,"1979,29","-24,0599999999999","-0,0120098834452292","2003,35","1973,84","2003,35",
2005/05/23,"2003,35","2,78999999999996","0,00139460950933737","2000,56","1997,3","2009,51",
2005/05/20,"2000,56","6,86999999999989","0,00344587172529325","1993,69","1982,82","2001,58",
2005/05/19,"1993,69","22,76","0,0115478479702475","1970,93","1970,76","1994,66",
