"M&A SDC Deal Number","Date Announced","Rank Value inc. Net Debt of Target
(USD, Millions)","Target Full Name","Target Macro Industry","Target Mid Industry","Target Nation","Acquiror Full Name","Acquiror Macro Industry","Acquiror Mid Industry","Acquiror Nation","M&A Type","M&A TRBC Activity
('|')","Acquiror Nation of Primary Stock Exchange","Deal Status",,,
1055787040,1996/11/01,"38,1304618204432","Craftline Ltd",Healthcare,"Healthcare Providers & Services (HMOs)","United Kingdom","Investor Group",Financials,"Other Financials","United Kingdom","Disclosed Dollar Value Deal","Healthcare REITs",,Completed,,,
536998040,1996/02/13,"649,199063939005","Diligentia AB","Real Estate","Real Estate Management & Development",Sweden,Shareholders,Financials,"Other Financials",Sweden,"Disclosed Dollar Value Deal","Diversified REITs",,Completed,,,
210779020,1991/06/19,"152,6","National Health Investors Inc","Real Estate",REITs,"United States",Shareholders,Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Healthcare REITs",,Completed,,,
2041183040,2009/08/07,"72,561978545888","Inverfin Sdn Bhd","Real Estate","Non Residential",Malaysia,"Hap Seng Realty(KL City)Sdn Bhd","Real Estate","Other Real Estate",Malaysia,"Disclosed Dollar Value Deal","Mortgage REITs",,Completed,,,
1514694040,2004/06/09,"1740,17482774686","Societe Fonciere Lyonnaise SA","Real Estate",REITs,France,"Inmobiliaria Colonial SA","Real Estate","Other Real Estate",Spain,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Spain,Completed,,,
101819020,1988/04/06,27,"Alexanders Inc","Real Estate",REITs,"United States","Interstate Properties Inc, The Trump Organization","Real Estate","Other Real Estate","United States","Disclosed Dollar Value Deal","Retail REITs",,Completed,,,
3095667040,2017/04/24,"323,406934455251","Generation Healthcare REIT","Real Estate",REITs,Australia,"NWH Australia AssetCo Pty Ltd","Real Estate","Real Estate Management & Development",Australia,"Disclosed Dollar Value Deal","Healthcare REITs",,Completed,,,
2636397040,2013/11/04,"22,8651220521307","Agro Finance REIT","Real Estate",REITs,Bulgaria,"Winslow Land Invest AD","Real Estate","Real Estate Management & Development",Bulgaria,"Disclosed Dollar Value Deal","Diversified REITs",,Completed,,,
2409674040,2012/03/16,"1,70890180172162","Fonciere Massena SCA","Real Estate",REITs,France,"Massena Property SAS","Real Estate","Real Estate Management & Development",France,"Disclosed Dollar Value Deal","Diversified REITs",,Completed,,,
2119322040,2009/10/19,"3,81383133936388","Continuum Health Care Inc",Healthcare,"Healthcare Providers & Services (HMOs)",Canada,"Hallmark Properties Ltd","Real Estate","Real Estate Management & Development","United States","Disclosed Dollar Value Deal","Healthcare REITs",,Completed,,,
3627512040,2020/08/28,"2299,48393242609","MCUBS MidCity Investment Corp","Real Estate",REITs,Japan,"Japan Retail Fund Investment Corp","Real Estate",REITs,Japan,"Disclosed Dollar Value Deal","Office REITs",Japan,Completed,,,
3505332040,2020/01/22,"7998,90954885547","Capitaland Commercial Trust","Real Estate",REITs,Singapore,"Capitaland Mall Trust","Real Estate",REITs,Singapore,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Singapore,Completed,,,
3483591040,2019/12/02,"1580,59610883558","Frasers Commercial Trust","Real Estate",REITs,Singapore,"Frasers Logistics & Industrial Trust","Real Estate",REITs,Singapore,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Singapore,Completed,,,
3431548040,2019/07/18,"1199,07411665517","Pure Multi-Family REIT LP","Real Estate",REITs,Canada,"Cortland Partners LLC","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
3382218020,2019/04/11,"999,645","Carter Validus Mission Critical REIT Inc","Real Estate",REITs,"United States","Carter Validus Mission Critical REIT II Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Diversified REITs",,Completed,,,
1921292020,2007/11/05,"3075,627","American Financial Realty Trust","Real Estate",REITs,"United States","Gramercy Capital Corp","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
2447925020,2012/09/06,"2104,483","American Realty Capital Trust Inc","Real Estate","Non Residential","United States","Realty Income Corp","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
3287481040,2018/08/10,"109,076169068062","Aventus Property Group Pty Ltd","Real Estate","Non Residential",Australia,"Aventus Holdings Ltd","Real Estate",REITs,Australia,"Disclosed Dollar Value Deal","Retail REITs",,Completed,,,
2925445020,2016/02/26,"2597,087","Apollo Residential Mortgage Inc","Real Estate",REITs,"United States","Apollo Commercial Real Estate Finance Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Mortgage REITs","United States",Completed,,,
2690909020,2014/10/31,"2579,795","Aviv REIT Inc","Real Estate",REITs,"United States","Omega Healthcare Investors Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Healthcare REITs","United States",Completed,,,
2590117020,2013/12/09,"6374,023","BRE Properties Inc","Real Estate",REITs,"United States","Essex Property Trust Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Residential REITs","United States",Completed,,,
3237470040,2018/04/20,"1001,07516263224","Beni Stabili SpA SIIQ","Real Estate",REITs,Italy,"Fonciere des Regions SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Office REITs",France,Completed,,,
3062979040,2017/01/23,"381,274131274131","Brookfield Canada Office Properties","Real Estate",REITs,Canada,"Brookfield Property Partners LP","Real Estate",REITs,Bermuda,"Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
3218681040,2018/03/02,"138,00249298847","Mohawk Medical Properties REIT","Real Estate","Non Residential",Canada,"Invesque Inc","Real Estate",REITs,Canada,"Disclosed Dollar Value Deal","Healthcare REITs",Canada,Completed,,,
3213786040,2018/02/15,"4632,10682254965","Canadian Real Estate Investment Trust","Real Estate",REITs,Canada,"Choice Properties Real Estate Investment Trust","Real Estate",REITs,Canada,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Canada,Completed,,,
3213001040,2018/02/12,"41,2069092065667","ANF Immobilier SA","Real Estate",REITs,France,"Icade SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Diversified REITs",France,Completed,,,
3200489040,2018/01/09,"2925,45776632579","Pure Industrial Real Estate Trust","Real Estate",REITs,Canada,"Blackstone Property Partners LP","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Industrial REITs",,Completed,,,
108019020,1988/10/30,"32,166","California Real Estate Investment Trust","Real Estate",REITs,"United States","BB Real Estate Investment Corp","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Mortgage REITs","United States",Completed,,,
3183016040,2017/10/23,"0,990520318668589","Fonciere Developpement Logements SA","Real Estate",REITs,France,"Fonciere des Regions SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Residential REITs",France,Completed,,,
3191922040,2017/09/12,"718,530111748716","TICON Property Fund",Financials,"Other Financials",Thailand,"TICON Freehold & Leasehold Real Estate Investment Trust","Real Estate",REITs,Thailand,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Thailand,Completed,,,
2525192020,2013/05/28,"2038,987","CapLease Inc","Real Estate",REITs,"United States","American Realty Capital Properties Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Office REITs","United States",Completed,,,
3131106040,2017/07/24,"856,147674798265","ANF Immobilier SA","Real Estate",REITs,France,"Icade SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Diversified REITs",France,Completed,,,
2489047020,2013/01/22,"3782,104","Cole Credit Property Trust II Inc","Real Estate",REITs,"United States","Spirit Realty Capital Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
2526728020,2013/06/03,"3919,365","Colonial Properties Trust Inc","Real Estate",REITs,"United States","Mid-America Apartment Communities Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Diversified REITs","United States",Completed,,,
3099763020,2017/05/03,"521,824","Sentio Healthcare Properties Inc","Real Estate",REITs,"United States","Kayne Anderson Real Estate Advisors LLC","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Healthcare REITs",,Completed,,,
3070051040,2017/02/14,"77,6702371843917","Nobel Real Estate Investment Trust","Real Estate",REITs,Canada,"Edgefront Real Estate Investment Trust","Real Estate",REITs,Canada,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Canada,Completed,,,
664540020,1997/05/16,"3,3","Commercial Net Lease Realty Inc","Real Estate",REITs,"United States","Commercial Net Lease Realty Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Retail REITs","United States",Completed,,,
3062045040,2017/01/19,"2640,02471910112","Milestone Apartments Real Estate Investment Trust","Real Estate",REITs,Canada,"Starwood Capital Group Management LLC","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
795268020,1998/09/22,"258,429","Continental Mortgage & Equity Trust","Real Estate",REITs,"United States","Transcontinental Realty Investors Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
2389973020,2012/02/21,"2619,967","Corporate Property Associates 15 Inc","Real Estate",REITs,"United States","WP Carey Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
2966598040,2016/06/01,"1082,59010697009","Saf Gayrimenkul Yatirim Ortakligi AS","Real Estate",REITs,Turkey,"Akis Gayrimenkul Yatirim Ortakligi AS","Real Estate",REITs,Turkey,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Turkey,Completed,,,
2959557040,2016/05/26,"1461,84787620258","Top REIT Inc","Real Estate",REITs,Japan,"Nomura Real Estate Master Fund Inc","Real Estate",REITs,Japan,"Disclosed Dollar Value Deal","Office REITs",Japan,Completed,,,
2550014020,2013/07/25,"3779,396","Corporate Property Associates 16 - Global Inc","Real Estate",REITs,"United States","WP Carey Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
3256618020,2018/06/18,"5493,113","Corporate Property Associates 17-Global Inc","Real Estate",REITs,"United States","WP Carey Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Diversified REITs","United States",Completed,,,
2946552040,2016/04/15,"2338,60767120783","Daiwa House Reit Investment Corp","Real Estate",REITs,Japan,"Daiwa House Residential Investment Corp","Real Estate",REITs,Japan,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Japan,Completed,,,
2467253020,2012/11/12,"785,191","CreXus Investment Corp","Real Estate",REITs,"United States","Annaly Capital Management Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
3239608020,2018/04/26,"11517,083","CYS Investments Inc","Real Estate",REITs,"United States","Two Harbors Investment Corp","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Mortgage REITs","United States",Completed,,,
2942311040,2016/04/01,"173,041511215437","Sycom Property Fund","Real Estate",REITs,"South Africa","Growthpoint Properties Ltd","Real Estate",REITs,"South Africa","Disclosed Dollar Value Deal","Commercial REITs (NEC)","South Africa",Completed,,,
